,Date,Gender,Cases
0,2020-04-04,Female,2277.0
1,2020-04-04,Male,2641.0
3,2020-04-05,Female,2547.0
4,2020-04-05,Male,2899.0
6,2020-04-06,Female,2763.0
7,2020-04-06,Male,3082.0
9,2020-04-07,Female,2998.0
10,2020-04-07,Male,3313.0
12,2020-04-08,Female,3292.0
13,2020-04-08,Male,3569.0
15,2020-04-09,Female,3514.0
16,2020-04-09,Male,3792.0
18,2020-04-10,Female,3761.0
19,2020-04-10,Male,4013.0
21,2020-04-11,Female,3998.0
22,2020-04-11,Male,4216.0
24,2020-04-12,Female,4198.0
25,2020-04-12,Male,4402.0
27,2020-04-13,Female,4320.0
28,2020-04-13,Male,4508.0
30,2020-04-14,Female,4608.0
31,2020-04-14,Male,4774.0
33,2020-04-15,Female,4993.0
34,2020-04-15,Male,4807.0
36,2020-04-16,Female,4967.0
37,2020-04-16,Male,5179.0
39,2020-04-17,Female,5239.0
40,2020-04-17,Male,5408.0
42,2020-04-18,Female,5551.0
43,2020-04-18,Male,5698.0
45,2020-04-19,Female,5969.0
46,2020-04-19,Male,5841.0
48,2020-04-20,Female,6431.0
49,2020-04-20,Male,6561.0
51,2020-04-21,Female,7085.0
52,2020-04-21,Male,7192.0
54,2020-04-22,Female,7827.0
55,2020-04-22,Male,7706.0
57,2020-04-23,Female,8281.0
58,2020-04-23,Male,8314.0
60,2020-04-24,Female,8799.0
61,2020-04-24,Male,8744.0
63,2020-04-25,Female,9083.0
64,2020-04-25,Male,9008.0
66,2020-04-26,Female,9272.0
67,2020-04-26,Male,9220.0
69,2020-04-27,Female,9721.0
70,2020-04-27,Male,9621.0
72,2020-04-28,Female,9996.0
73,2020-04-28,Male,9868.0
75,2020-04-29,Female,10591.0
76,2020-04-29,Male,10745.0
78,2020-04-30,Female,10903.0
79,2020-04-30,Male,11085.0
81,2020-05-01,Female,11416.0
82,2020-05-01,Male,11551.0
84,2020-05-02,Female,11736.0
85,2020-05-02,Male,11851.0
87,2020-05-03,Female,12112.0
88,2020-05-03,Male,12193.0
90,2020-05-04,Female,12354.0
91,2020-05-04,Male,12455.0
93,2020-05-05,Female,13186.0
94,2020-05-05,Male,13162.0
96,2020-05-06,Female,13587.0
97,2020-05-06,Male,13550.0
99,2020-05-07,Female,13952.0
100,2020-05-07,Male,13936.0
102,2020-05-08,Female,14304.0
103,2020-05-08,Male,14356.0
105,2020-05-09,Female,14731.0
106,2020-05-09,Male,14788.0
108,2020-05-10,Female,14945.0
109,2020-05-10,Male,15015.0
111,2020-05-11,Female,15231.0
112,2020-05-11,Male,15280.0
114,2020-05-12,Female,15669.0
115,2020-05-12,Male,15742.0
117,2020-05-13,Female,16245.0
118,2020-05-13,Male,16340.0
120,2020-05-14,Female,16586.0
121,2020-05-14,Male,16767.0
123,2020-05-15,Female,16586.0
124,2020-05-15,Male,17173.0
126,2020-05-16,Female,17457.0
127,2020-05-16,Male,17684.0
129,2020-05-17,Female,17741.0
130,2020-05-17,Male,18002.0
132,2020-05-18,Female,17966.0
133,2020-05-18,Male,18216.0
135,2020-05-19,Female,18497.0
136,2020-05-19,Male,18779.0
138,2020-05-20,Female,19084.0
139,2020-05-20,Male,19422.0
141,2020-05-21,Female,19630.0
142,2020-05-21,Male,19915.0
144,2020-05-22,Female,20131.0
145,2020-05-22,Male,20332.0
147,2020-05-23,Female,20630.0
148,2020-05-23,Male,20801.0
150,2020-05-24,Female,21079.0
151,2020-05-24,Male,21219.0
153,2020-05-25,Female,21539.0
154,2020-05-25,Male,21737.0
156,2020-05-26,Female,22466.0
157,2020-05-26,Male,22610.0
159,2020-05-27,Female,22888.0
160,2020-05-27,Male,23003.0
162,2020-05-28,Female,23347.0
163,2020-05-28,Male,23539.0
165,2020-05-29,Female,24127.0
166,2020-05-29,Male,24454.0
168,2020-05-30,Female,25081.0
169,2020-05-30,Male,25469.0
171,2020-05-31,Female,25662.0
172,2020-05-31,Male,26141.0
174,2020-06-01,Female,26128.0
175,2020-06-01,Male,26641.0
177,2020-06-02,Female,26631.0
178,2020-06-02,Male,27247.0
180,2020-06-03,Female,27100.0
181,2020-06-03,Male,27779.0
183,2020-06-04,Female,27797.0
184,2020-06-04,Male,28457.0
186,2020-06-05,Female,28330.0
187,2020-06-05,Male,29254.0
189,2020-06-06,Female,28865.0
190,2020-06-06,Male,29975.0
192,2020-06-07,Female,29558.0
193,2020-06-07,Male,30731.0
195,2020-06-08,Female,29982.0
196,2020-06-08,Male,31098.0
198,2020-06-09,Female,30535.0
199,2020-06-09,Male,31663.0
201,2020-06-10,Female,31109.0
202,2020-06-10,Male,32202.0
204,2020-06-11,Female,32005.0
205,2020-06-11,Male,33067.0
207,2020-06-12,Female,32771.0
208,2020-06-12,Male,33810.0
